ic,log_hr,se,hr,hr_lo,hr_hi,source
0.8000000000000003,-0.2481108533535576,0.046092175061935775,0.780273442555876,0.7128733411635352,0.8540460275373538,Pooled (RE)
0.8500000000000001,-0.2534982408099785,0.047377095675850474,0.7760811101980808,0.7072597038660183,0.8515993295164238,Pooled (RE)
0.9000000000000004,-0.2588856282663995,0.04870187669120965,0.7719113028291416,0.7016354536859978,0.849225985239397,Pooled (RE)
0.9500000000000002,-0.2642730157228204,0.05006335383932471,0.7677638994245117,0.6960058668870022,0.8469201673485777,Pooled (RE)
1,-0.26966040317924134,0.051458614515604774,0.7636387796098977,0.6903757339594258,0.8446765392225764,Pooled (RE)
1.0500000000000003,-0.2750477906356623,0.052884984862608536,0.7595358236577647,0.6847493904855166,0.84249022406640794,Pooled (RE)
1.1,-0.2804351780920832,0.05434001514353487,0.7554549124838631,0.6791307497254807,0.840356772280883,Pooled (RE)
1.1500000000000004,-0.28582256554850416,0.05582146427235143,0.7513959276437701,0.6735233355691931,0.8382721284667932,Pooled (RE)
1.2000000000000002,-0.29120995300492514,0.05732728414156522,0.7473587513294538,0.6679303148844246,0.8362325990329821,Pooled (RE)
1.25,-0.296597340461346,0.05885560420567139,0.7433432663658534,0.6623545286000647,0.8342348210698141,Pooled (RE)
1.3000000000000003,-0.301984727917767,0.06040471663380333,0.7393493562074775,0.6567985211008006,0.8322757329115814,Pooled (RE)
1.35,-0.30737211537418796,0.06197306223379678,0.735376904935023,0.6512645676890162,0.8303525466320777,Pooled (RE)
1.4000000000000004,-0.3127595028306089,0.06355921726615713,0.7314257972520087,0.6457547000012267,0.8284627225860228,Pooled (RE)
1.4500000000000002,-0.3181468902870298,0.06516188120494697,0.7274959184814312,0.6402707293601002,0.8266039460152818,Pooled (RE)
1.5,-0.3235342777434507,0.06677986545866364,0.7235871545624347,0.6348142681076208,0.8247741056743199,Pooled (RE)
1.5500000000000003,-0.3289216651998717,0.06841208303374016,0.7196993920470011,0.6293867490073192,0.8229712743869659,Pooled (RE)
1.6,-0.3343090526562926,0.07005753910309755,0.7158325180966576,0.6239894428294586,0.8211936914205921,Pooled (RE)
1.6500000000000004,-0.3396964401127136,0.07171532242957056,0.7119864204792011,0.6186234742470902,0.8194397465497896,Pooled (RE)
1.7000000000000002,-0.3450838275691345,0.07338459758696664,0.7081609875654415,0.6132898361764771,0.8177079656760441,Pooled (RE)
1.75,-0.35047121502555545,0.07506459791841515,0.7043561083259611,0.6079894026951105,0.8159969978701783,Pooled (RE)
1.8000000000000003,-0.3558586024819764,0.07675461917131884,0.7005716723278921,0.602722940666388,0.81430560370849,Pooled (RE)
1.85,-0.3612459899383973,0.07845401374973478,0.6968075697317121,0.5974911201934195,0.8126326447801195,Pooled (RE)
1.9000000000000004,-0.36663337739481827,0.08016218552772565,0.6930636912880552,0.5922945240163884,0.8109770742512116,Pooled (RE)
1.9500000000000002,-0.37202076485123925,0.08187858517065362,0.6893399283345418,0.5871336559591769,0.8093379283801624,Pooled (RE)
2,-0.3774081523076601,0.08360270591519747,0.6856361727926247,0.5820089485220579,0.8077143188871457,Pooled (RE)
-2,0.2544663427822801,0.11385213159333947,1.2897731404373367,1.0318116749149564,1.612227109109518,CHARLS
-1.95,0.24332406783578717,0.11116711383801542,1.2754818998090203,1.0257627936165095,1.5859944295743693,CHARLS
-1.9,0.23218179288929422,0.10848600461987942,1.2613490122679971,1.0197415612149383,1.5602005363534508,CHARLS
-1.85,0.22103951794280138,0.10580910105599493,1.247372723194014,1.0137473170387175,1.5348387950495803,CHARLS
-1.8,0.2098972429963085,0.10313673061889261,1.2335512974087635,1.0077793541374052,1.5099027352483105,CHARLS
-1.75,0.1987549680498156,0.10046925503761499,1.2198830189604597,1.001836913237986,1.4853860546407958,CHARLS
-1.7,0.18761269310332265,0.0978070748026729,1.2063661909107999,0.9959191757756447,1.4612826241037045,CHARLS
