class_label,time,mean_y,sd_y,n,cohort,variable
C3,11,0.08330122535714267,0.3634135447496988,968,HRS,ic_cfa
C3,12,0.05061856930632854,0.3253742091154504,4146,HRS,ic_cfa
C3,13,0.10470266670621133,0.3631099966798913,257,HRS,ic_cfa
C3,14,8.379991947807974e-4,0.3454867146944081,3445,HRS,ic_cfa
C3,15,0.060857623738433425,0.33814149936403853,184,HRS,ic_cfa
C3,16,-0.04779782506639756,0.34434391433481015,2462,HRS,ic_cfa
C3,17,-0.023635472945622616,0.40112774837268184,365,HRS,ic_cfa
C3,18,0.004854075752336923,0.3646867925453924,1867,HRS,ic_cfa
C3,19,0.03478887080197201,0.4098229433702432,133,HRS,ic_cfa
C3,20,-0.008639734910238674,0.3717013941961468,1188,HRS,ic_cfa
C3,21,0.015043736132232179,0.4153680552284791,69,HRS,ic_cfa
C4,0,0.6353142603078779,0.3316542284803995,2779,HRS,ic_cfa
C4,1,0.6598278489220806,0.3300349731125349,110,HRS,ic_cfa
C4,2,0.618357669122947,0.32052233073795594,2506,HRS,ic_cfa
C4,3,0.6476254914498883,0.33231577160955367,219,HRS,ic_cfa
C4,4,0.5985558512547493,0.3152713242609153,2469,HRS,ic_cfa
C4,5,0.5866397912787396,0.327855630988665,207,HRS,ic_cfa
C4,6,0.5587658006884972,0.3307715761774718,2250,HRS,ic_cfa
C4,7,0.5139045995463446,0.3362063678220915,200,HRS,ic_cfa
C4,8,0.507444917882357,0.3250143590068044,1997,HRS,ic_cfa
C4,9,0.5037448658883665,0.33815268173933655,212,HRS,ic_cfa
C4,10,0.4796859436052394,0.3300163646860598,1551,HRS,ic_cfa
C4,11,0.4884310722481141,0.3587033703950071,324,HRS,ic_cfa
C4,12,0.4293256481522491,0.33330135388208565,1529,HRS,ic_cfa
C4,13,0.4896063911687857,0.4683471053817163,97,HRS,ic_cfa
C4,14,0.38839862017875953,0.3390265302040511,1285,HRS,ic_cfa
C4,15,0.41469017548799963,0.4179562138706648,68,HRS,ic_cfa
C4,16,0.3342417911256916,0.3569085003530939,967,HRS,ic_cfa
C4,17,0.32387049471115986,0.472815989780562,89,HRS,ic_cfa
C4,18,0.24006323602512997,0.34289361042456334,748,HRS,ic_cfa
C4,19,0.2892269903595574,0.3755100074244131,36,HRS,ic_cfa
C4,20,0.256413729285528,0.37394828769508753,488,HRS,ic_cfa
C4,21,0.1271004191845399,0.3914901753085864,28,HRS,ic_cfa
C1,0,-0.835164967190221,0.35492098990416915,552,MHAS,ic_cfa
C1,2,-0.6304418033729302,NA,1,MHAS,ic_cfa
C1,3,-0.7144182434519177,0.3244715039456101,551,MHAS,ic_cfa
C1,5,-1.5759116413972503,NA,1,MHAS,ic_cfa
C1,6,-0.7618280988012593,0.34222418943522054,533,MHAS,ic_cfa
C1,7,-0.746020727014004,0.37793774519551937,17,MHAS,ic_cfa
C1,NA,-0.820437827769688,NA,1,MHAS,ic_cfa
C2,0,-0.1844786933070984,0.35865849105564934,2524,MHAS,ic_cfa
C2,2,-0.18882359961695763,0.34552858341352405,5,MHAS,ic_cfa
C2,3,-0.22915822325197233,0.31873336720611234,2519,MHAS,ic_cfa
C2,5,-0.1905654490439448,0.14450186233124857,5,MHAS,ic_cfa
C2,6,-0.2901993546952758,0.3464330098805356,2460,MHAS,ic_cfa
C2,7,-0.4098287337893688,0.33569145072797746,57,MHAS,ic_cfa
C2,NA,0.062160740064668984,0.03831885717349191,2,MHAS,ic_cfa
C3,0,0.3669972933474559,0.343521119994611,2152,MHAS,ic_cfa
C3,2,0.3958299893615274,NA,1,MHAS,ic_cfa
C3,3,0.2774965437160157,0.3070801214959034,2151,MHAS,ic_cfa
C3,5,0.029059553873863136,NA,1,MHAS,ic_cfa
C3,6,0.2003980972233249,0.3304986527267892,2112,MHAS,ic_cfa
C3,7,0.2598071829125251,0.3918455433288085,37,MHAS,ic_cfa
C3,NA,-0.012950168744430404,0.23419525271572433,2,MHAS,ic_cfa
C4,0,0.9623174547570554,0.3464357930378655,598,MHAS,ic_cfa
C4,3,0.7772226195223906,0.32622228790675234,598,MHAS,ic_cfa
C4,6,0.7104142084402788,0.3516510925378374,584,MHAS,ic_cfa
C4,7,0.7135783477417741,0.21080225546961376,14,MHAS,ic_cfa
C1,0,-0.6457301860018756,0.3287993125007487,2842,SHARE,ic_cfa
C1,1,-0.4572176022302437,NA,1,SHARE,ic_cfa
C1,2,-0.728700975435873,0.32575826150508536,1474,SHARE,ic_cfa
C1,3,-0.811558600217561,0.3167045057919793,218,SHARE,ic_cfa
C1,4,-0.7656142653947113,0.3338213113289161,1881,SHARE,ic_cfa
C1,5,-0.7710458647263266,0.3638293549668438,510,SHARE,ic_cfa
C1,6,-0.8546596774864286,0.3464426464662965,928,SHARE,ic_cfa
C1,7,-0.8492212721241925,0.32810699058191767,320,SHARE,ic_cfa
C1,8,-0.8519695527831167,0.3447561473903076,907,SHARE,ic_cfa
C1,9,-0.8797456593101695,0.3619324995683219,356,SHARE,ic_cfa
C1,10,-0.908299613862689,0.34540045259540975,548,SHARE,ic_cfa
C1,11,-0.9447478397250815,0.3288823396510979,103,SHARE,ic_cfa
C1,12,-0.959774285150046,0.3198681653076684,121,SHARE,ic_cfa
C1,13,-0.9831955597614015,0.33349579073654784,151,SHARE,ic_cfa
C1,14,-0.9786224112633152,0.38002755690844503,20,SHARE,ic_cfa
C2,0,-0.18619950408123745,0.3128799391353387,10053,SHARE,ic_cfa
C2,2,-0.2392317241992443,0.28291633207739814,5584,SHARE,ic_cfa
C2,3,-0.257567372438724,0.3171934523678194,587,SHARE,ic_cfa
C2,4,-0.2787583457479692,0.29921140259056067,6203,SHARE,ic_cfa
C2,5,-0.3116335744126809,0.31336413092617943,1707,SHARE,ic_cfa
C2,6,-0.35025702127653013,0.30891688333037837,3311,SHARE,ic_cfa
C2,7,-0.3695290308458597,0.2983700697189404,1459,SHARE,ic_cfa
C2,8,-0.4080504080262722,0.3127004912672406,3301,SHARE,ic_cfa
C2,9,-0.4049521615691154,0.32948410286193164,1636,SHARE,ic_cfa
C2,10,-0.46286320587333685,0.32639546159967564,1902,SHARE,ic_cfa
C2,11,-0.4824048334317454,0.3130797133824483,487,SHARE,ic_cfa
C2,12,-0.5215403973628321,0.3211434282060925,522,SHARE,ic_cfa
C2,13,-0.5402655623027299,0.32047983818090003,764,SHARE,ic_cfa
C2,14,-0.5554668164765251,0.31734193056572674,95,SHARE,ic_cfa
C3,0,0.2058752711513049,0.29429881598989266,16249,SHARE,ic_cfa
C3,1,0.07211041270492197,0.15152523775704746,8,SHARE,ic_cfa
C3,2,0.1841931297833132,0.2713081203707029,10039,SHARE,ic_cfa
C3,3,0.13928800083628812,0.2744262288839142,795,SHARE,ic_cfa
C3,4,0.15244402818272357,0.2824574493197364,9768,SHARE,ic_cfa
C3,5,0.1432691430678002,0.29182489484719654,2469,SHARE,ic_cfa
C3,6,0.10194609415743724,0.2786301616137443,5828,SHARE,ic_cfa
C3,7,0.09840305898748002,0.2744229005380167,2683,SHARE,ic_cfa
C3,8,0.043941391956618614,0.2895710188590591,4986,SHARE,ic_cfa
C3,9,0.05170140473575289,0.2928485347958501,2905,SHARE,ic_cfa
C3,10,0.003903370878153037,0.30258991695770066,2632,SHARE,ic_cfa
C3,11,-0.007320342053814718,0.3018012692892297,916,SHARE,ic_cfa
C3,12,-0.08375205245066754,0.3184171790947203,927,SHARE,ic_cfa
C3,13,-0.08407634260093043,0.31333815462733355,1342,SHARE,ic_cfa
C3,14,-0.12205000176989503,0.3206911767338467,215,SHARE,ic_cfa
C4,0,0.5855337582705871,0.2861074793818187,5733,SHARE,ic_cfa
C4,1,0.8892280519601371,NA,1,SHARE,ic_cfa
C4,2,0.5986912455741694,0.269334237577199,3856,SHARE,ic_cfa
C4,3,0.5689820225876545,0.2812331473999396,160,SHARE,ic_cfa
C4,4,0.571295849058747,0.26958198421111684,3641,SHARE,ic_cfa
C4,5,0.5193399915518289,0.2640067933856368,753,SHARE,ic_cfa
C4,6,0.5288704719396058,0.2719757617826952,2325,SHARE,ic_cfa
C4,7,0.5194985831832708,0.27474465086651645,1036,SHARE,ic_cfa
C4,8,0.47219004309086304,0.2870516474994166,1771,SHARE,ic_cfa
C4,9,0.476049312577602,0.2750855045417518,1162,SHARE,ic_cfa
C4,10,0.44067799635051436,0.27757620900991553,831,SHARE,ic_cfa
C4,11,0.4370285750956088,0.2808685228476211,382,SHARE,ic_cfa
C4,12,0.36476483537390086,0.2811413551167591,338,SHARE,ic_cfa
C4,13,0.35095714069156253,0.30919441838256984,540,SHARE,ic_cfa
C4,14,0.3187679485382506,0.32158565820886154,93,SHARE,ic_cfa
C1,0,-1.2657080465110018,0.5403255205998012,489,CHARLS,env_formative
C1,1,-1.5655770892811685,0,3,CHARLS,env_formative
C1,2,-1.8024505504252992,0.6030895949310252,358,CHARLS,env_formative
C1,3,-1.0835202372601422,0.5311390488590234,65,CHARLS,env_formative
C1,4,-1.0685470586815533,0.6907269252024156,350,CHARLS,env_formative
C1,5,-1.2557480017291933,0.6264924721463647,112,CHARLS,env_formative
