model,cohort,term,estimate,conf.low,conf.high,p.value,log_hr,se_log_hr,n,n_events
CSH_death,HRS,ic_cfa_c:env_form_c,0.8761641920875991,0.6869148775392202,1.1175528680446793,0.28696839950204783,-0.1322017717193292,0.12415693820783,20543,510
CSH_death,MHAS,ic_cfa_c,0.6233272494637271,0.24159309622734204,1.6082283227100063,0.3283467512154998,-0.47268361806786535,0.48358887099768383,7697,20
CSH_death,MHAS,env_form_c,0.44866885645365134,0.22549811656975483,0.8927069805000195,0.02241242447524907,-0.8014701768029862,0.3510132333749493,7697,20
CSH_death,MHAS,age,1.0664926453932808,1.0092807284486425,1.1269476674009786,0.022117525181624333,0.06437536288418798,0.028131861715872605,7697,20
CSH_death,MHAS,female,1.978640010385912,0.7764781478726847,5.042017346432637,0.15275338365560195,0.6824097452662196,0.47725189404456075,7697,20
CSH_death,MHAS,chronic_n,0.596715293349067,0.3431405664862374,1.0376771973154164,0.0674067610428405,-0.5163151749030919,0.2823010679787718,7697,20
CSH_death,MHAS,ic_cfa_c:env_form_c,0.3354849963527759,0.10682752332093691,1.0535691484646033,0.06140214945594363,-1.0921780438303637,0.5838687046578309,7697,20
CSH_death,SHARE,ic_cfa_c,0.7716536103733146,0.5997601648224075,0.9928123428779021,0.04379291633143036,-0.25921952087566646,0.12857680553599665,41760,381
CSH_death,SHARE,env_form_c,0.77795913803219785,0.6647858479530405,0.9103990740948386,0.0017463245075123592,-0.2510812779925783,0.08021017048827574,41760,381
CSH_death,SHARE,age,1.0797106196167896,1.0645526364403206,1.0950844347268927,2.1215843169583664e-26,0.0766930604332381,0.007213606634409453,41760,381
CSH_death,SHARE,female,0.45029309102762766,0.36401957841338467,0.5570136329232118,1.9481174227262014e-13,-0.7978565948355598,0.1085178262376346,41760,381
CSH_death,SHARE,chronic_n,1.078913260887678,0.9852709084985142,1.1814555920393726,0.10108015112687369,0.0759542946180557,0.04632377786048248,41760,381
CSH_death,SHARE,ic_cfa_c:env_form_c,1.0970970241815676,0.800913208561811,1.5028118747465513,0.5638097295129256,0.09266762239716612,0.16054902871641688,41760,381
