log_hr,hr,se_log_hr,z,p_value,variable,model,cohort,n,n_events,hr_lower,hr_upper
-0.4545261138568661,0.6347486952984126,0.056230550323671795,-8.083259211239142,6.305839403152466e-16,female,M3_Both_mort,HRS,20543,1454,0.568509080893737,0.7087061926075835
0.240169173915294,1.2714642307099615,0.02083075135609417,11.529549261555127,9.363264179364787e-31,chronic_n,M3_Both_mort,HRS,20543,1454,1.2205979983752109,1.3244502220442984
-0.19889030543731614,0.8196397984310324,0.062183454033583115,-3.198444160562429,0.001381712887640097,ic_cfa,M4_Int_mort,HRS,20543,1454,0.725590207976577,0.9258799137401676
-0.19130403551898673,0.8258814526799897,0.036197964307025404,-5.284939061665904,1.2574660897516286e-7,env_formative,M4_Int_mort,HRS,20543,1454,0.7693170963103935,0.8866047266491704
-0.07033518765858165,0.9320813453763065,0.06963674721480279,-1.0100297683581407,0.312481028171171,ic_env_cont,M4_Int_mort,HRS,20543,1454,0.8131633946489552,1.0683899940842252
0.09938394081359281,1.1044902770581198,0.0034516192370723513,28.793425342561783,2.5926342698800904e-182,age,M4_Int_mort,HRS,20543,1454,1.097043426499505,1.1119876776514028
-0.45331137441485025,0.6355202180790646,0.0563170527069234,-8.04927375681224,8.328676533291306e-16,female,M4_Int_mort,HRS,20543,1454,0.5691035942492667,0.7096879226708245
0.24038034646816905,1.2717327574091863,0.020828230653292673,11.541083372349155,8.188731060926772e-31,chronic_n,M4_Int_mort,HRS,20543,1454,1.2208618141355563,1.3247233941973369
0.18992474109323523,1.2091585942789764,0.0978582486013323,1.9408148399117118,0.052280740351837406,High IC / Low Env,M5_6grp_mort,HRS,20543,1454,0.9981243350967416,1.4648120025818248
0.09127130389597073,1.0955661963194514,0.08550206227719408,1.0674748826533915,0.28575744986191803,Medium IC / High Env,M5_6grp_mort,HRS,20543,1454,0.9265264010764713,1.295446399717655
0.2634695896038035,1.301437717103256,0.09168520125161407,2.87363266925441,0.004057806103176214,Medium IC / Low Env,M5_6grp_mort,HRS,20543,1454,1.0873750655742298,1.55764113517215
0.24836235154287434,1.281924355314719,0.09386526932631108,2.6459451224656174,0.008146303093646123,Low IC / High Env,M5_6grp_mort,HRS,20543,1454,1.066504441698099,1.5408562669767518
0.43955043471109956,1.5520093321265693,0.0879321182721593,4.998747253542147,5.770397984796845e-7,Low IC / Low Env,M5_6grp_mort,HRS,20543,1454,1.30630623026547,1.8439267234593626
0.10177658091942796,1.107136088766905,0.003390165866207197,30.021121365749625,5.202739766407214e-198,age,M5_6grp_mort,HRS,20543,1454,1.0998038611077248,1.1145171992899736
-0.41277452043126356,0.6618114909750917,0.05495492526376957,-7.51114697090482,5.861154432312727e-14,female,M5_6grp_mort,HRS,20543,1454,0.5942315778186424,0.7370770351762566
0.24432328114602717,1.2767570152503476,0.020833814186059132,11.727246819236544,9.241591936558803e-32,chronic_n,M5_6grp_mort,HRS,20543,1454,1.2256716817253697,1.3299715578777866
-0.4553077434972315,0.6342527507517124,0.35326509721687777,-1.2888557264339855,0.1974482483091087,ic_cfa,M1_IC_mort,MHAS,7695,27,0.31736354452913695,1.267557533846428
0.06278637387802984,1.0647993459779623,0.024386448812641466,2.5746419398909195,0.010034390502614907,age,M1_IC_mort,MHAS,7695,27,1.0151018316450515,1.1169299589950388
0.20817123553230563,1.231424015042942,0.39641014896643706,0.5251410340403038,0.5994851524230779,female,M1_IC_mort,MHAS,7695,27,0.5662086345379437,2.6781737549127054
-0.2326902402211532,0.7923989888479974,0.22454720781060866,-1.0362642336546561,0.300078887251188,chronic_n,M1_IC_mort,MHAS,7695,27,0.5102763855883716,1.2305020872234491
-0.34002039177360666,0.7117558086513127,0.35972874658379494,-0.9452132891870585,0.3445499962506253,ic_cfa,M3_Both_mort,MHAS,7695,27,0.35166061336165166,1.4405830846569527
-0.4758577050542284,0.6213518911909017,0.30592799451940655,-1.5554565570299332,0.11983737335035247,env_formative,M3_Both_mort,MHAS,7695,27,0.34113514031012493,1.1317455373712824
0.05715749363478974,1.058822555077339,0.02455417205299298,2.327811889215081,0.019922094487566867,age,M3_Both_mort,MHAS,7695,27,1.0090722217994148,1.1110257312814618
0.19185886364145208,1.2114995182677268,0.39629636362757775,0.48412976057926377,0.6282937815213775,female,M3_Both_mort,MHAS,7695,27,0.5571715991298247,2.634253226573638
-0.2122164630095171,0.8087896055846239,0.22414588676608177,-0.946778306179608,0.3437517584308754,chronic_n,M3_Both_mort,MHAS,7695,27,0.5212411934503981,1.254967248025036
-0.618723159060887,0.538631745773796,0.38748451456356825,-1.5967687373462334,0.11031726705505752,ic_cfa,M4_Int_mort,MHAS,7695,27,0.2520336149758366,1.1511327867242733
-0.509099739539669,0.6010364246530088,0.30782150709079287,-1.6538796926541866,0.09815195951804277,env_formative,M4_Int_mort,MHAS,7695,27,0.32875914005182794,1.0988128990200017
-1.0656169062574052,0.3445152555801393,0.5154511901865084,-2.0673478431038785,0.03870138911125153,ic_env_cont,M4_Int_mort,MHAS,7695,27,0.12544332211630205,0.946170424420099
0.05977750461533176,1.0616003190952144,0.02455209221833348,2.4347214112650994,0.01490325897894271,age,M4_Int_mort,MHAS,7695,27,1.0117235927525376,1.1139359065818666
0.19055886430092717,1.2099255929655208,0.39601315253523706,0.4811932711855355,0.6303791427396258,female,M4_Int_mort,MHAS,7695,27,0.5567567134302548,2.6293709715569573
-0.22020606969535736,0.8023534401964612,0.225322520084092,-0.977292769551729,0.32842423163691503,chronic_n,M4_Int_mort,MHAS,7695,27,0.5159021263746343,1.2478549904785758
1.7608624529018801,5.817452510240128,0.8023998329952093,2.194495039123959,0.028199840199446425,High IC / Low Env,M5_6grp_mort,MHAS,7695,27,1.2070251518679196,28.03815119885957
-0.30549057137697505,0.7367618514465067,1.2270074314834332,-0.24897206287303544,0.8033823916727041,Medium IC / High Env,M5_6grp_mort,MHAS,7695,27,0.06650852546312827,8.16163073781899
1.3408017146354163,3.8221065161040864,0.8419641529743253,1.5924688835016263,0.11127938935362863,Medium IC / Low Env,M5_6grp_mort,MHAS,7695,27,0.7338519122179422,19.90660237743828
1.3891374958090057,4.0113887209185695,0.8782622821294674,1.5816886641663026,0.11372066179645306,Low IC / High Env,M5_6grp_mort,MHAS,7695,27,0.717303255606137,22.432965896293428
1.6407343494138664,5.158956598296399,0.8130640650820231,2.0179644137247004,0.04359496765747299,Low IC / Low Env,M5_6grp_mort,MHAS,7695,27,1.048256996866063,25.38960699778335
0.06000212201072097,1.061838799776286,0.024038468919563013,2.496087509212784,0.012557161909686549,age,M5_6grp_mort,MHAS,7695,27,1.012970114572282,1.1130650554152048
0.1863851596787648,1.2048862446168083,0.39637315131177875,0.47022650010963574,0.6381932030289789,female,M5_6grp_mort,MHAS,7695,27,0.554046745911836,2.62026782609749
-0.19801398939651851,0.8203583767389377,0.22370484676550279,-0.8851573502298117,0.3760717715513443,chronic_n,M5_6grp_mort,MHAS,7695,27,0.5291541508728677,1.271818174676729
