analysis,term,hr,ci_lo,ci_hi,p,i2,n_cohorts,note
S13_adj_marital,factor(marital_bl)5,1.0123131604917002,0.9555639887594158,1.0724325602047202,0.6775836674137796,0.007747435651430512,5,"N=88115, events=22690"
S13_adj_marital,factor(marital_bl)7,0.937602773743636,0.8988839711116606,0.9779893619023684,0.002750440390264335,0.03809182258015151,5,"N=88115, events=22690"
S13_adj_marital,factor(marital_bl)8,0.9880443700068691,0.9163607337864317,1.0653355617590143,0.7542864351783829,0,5,"N=88115, events=22690"
S13_adj_marital,ic_cfa_c:env_form_c,0.902978239546024,0.8376092862027625,0.9734487362121457,0.007771731927551948,73.73616302948653,5,"N=88115, events=22690"
S13_adj_marital,factor(marital_bl)9,1.4124689703537055e-4,3.611762846191984e-167,5523808392667636e143,0.9629834863903255,NA,1,single cohort
S14_competing_risk,IC×Env_CR,NA,NA,NA,NA,NA,0,Fine-Gray multistate failed
S15_LOO_excl_CHARLS,ic_cfa_c:env_form_c,0.9247206723639761,0.86764552037117,0.9855503219004431,0.016051380632119295,59.2655771961848,4,"N=79454, events=19536"
S15_LOO_excl_ELSA,ic_cfa_c:env_form_c,0.8945667680980721,0.8117212602434962,0.9858676146358109,0.024638930179387314,79.7989547834673,4,"N=78955, events=19963"
S15_LOO_excl_HRS,ic_cfa_c:env_form_c,0.8739500412640443,0.8173273305437527,0.9344954537581537,8.070016388268848e-5,49.41118303150896,4,"N=67866, events=14518"
S15_LOO_excl_MHAS,ic_cfa_c:env_form_c,0.9090516294516017,0.836590265240855,0.9877892432452561,0.02445857237513435,77.66367557444082,4,"N=80712, events=20980"
S15_LOO_excl_SHARE,ic_cfa_c:env_form_c,0.8867944701149499,0.8056939060680296,0.9760585580996736,0.01408166311635998,78.10341044232061,4,"N=46649, events=15943"
S16_e_value,IC×Env interaction,0.8978540523346393,0.8335718923361066,0.9670934285397987,0.004472482396636342,73.46991734307957,5,E-value=1.47 (CI=1.69)
S16_main_reference,ic_cfa_c,0.6227613502682927,0.5796054844697922,0.6691304857868372,3.2499930264556965e-38,81.52222111768575,5,"N=88409, events=22735"
S16_main_reference,env_form_c,0.8505154903786963,0.7951432384141405,0.9097437599002162,2.4299228702686547e-6,91.16114152356431,5,"N=88409, events=22735"
S16_main_reference,age,1.0513141705971882,1.0383072683928787,1.0644840106043065,3.318914234672335e-15,97.6217654775122,5,"N=88409, events=22735"
S16_main_reference,female,1.0785498931551771,0.9385925686406049,1.2393768189640018,0.286284428538945,95.83646799641451,5,"N=88409, events=22735"
S16_main_reference,chronic_n,1.3372195697593756,1.2958883646343726,1.3798689968575863,1.5169021026744793e-73,87.55957184604608,5,"N=88409, events=22735"
S16_main_reference,ic_cfa_c:env_form_c,0.8978540523346393,0.8335718923361066,0.9670934285397987,0.004472482396636342,73.46991734307957,5,"N=88409, events=22735"
S17_ge3_waves,ic_cfa_c,0.6172730741367214,0.5637789584757485,0.6758429741407039,1.7878556344077246e-25,85.56210847300956,5,"N=61460, events=18726"
S17_ge3_waves,env_form_c,0.8591292311286849,0.792846046048739,0.9309537954539934,2.1017449779250067e-4,92.344166589907,5,"N=61460, events=18726"
S17_ge3_waves,age,1.0498575605730827,1.037012053216182,1.0628621857133729,9.480362151757889e-15,96.68067247980382,5,"N=61460, events=18726"
S17_ge3_waves,female,1.107672579530696,0.9528922507793784,1.2875942085169263,0.1829854033860297,95.58461859880524,5,"N=61460, events=18726"
S17_ge3_waves,chronic_n,1.3469797667331924,1.301767126512697,1.3937627207172438,1.5045484358396753e-65,86.39358000828972,5,"N=61460, events=18726"
S17_ge3_waves,ic_cfa_c:env_form_c,0.904883252490738,0.8306904843274449,0.9857025162641124,0.022027641273327573,74.14795890396029,5,"N=61460, events=18726"
