log_hr,hr,se_log_hr,z,p_value,variable,cohort,subgroup,subgroup_type,n,n_events,hr_lower,hr_upper
-0.05992155570874462,0.9418384125332682,0.038892182444447275,-1.5407095190488533,0.12338749902251216,ic_env_cont,HRS,Female,sex,11318,4758,0.8727115123093362,1.0164408086881807
0.05989590892042936,1.061726024585177,0.0019231209343326943,31.145159855073132,5.8982467322438295e-213,age,HRS,Female,sex,11318,4758,1.0577315754999694,1.0657355584271073
0.3292166115322032,1.3898788867782619,0.01157871637741969,28.43291093771216,7.927696636930032e-178,chronic_n,HRS,Female,sex,11318,4758,1.3586918032380602,1.4217818311026573
-0.45392199860818944,0.6351322725150771,0.05921188840357897,-7.6660618474845466,1.7735769434997887e-14,ic_cfa,MHAS,Female,sex,4154,1057,0.5655382763410162,0.7132903650661526
-0.04744988669336957,0.9536582629041142,0.05026072518571822,-0.9440748520447659,0.3451313992252708,env_formative,MHAS,Female,sex,4154,1057,0.8641914854482955,1.0523872286632308
-0.12755440126658915,0.8802455280600192,0.0837199261575862,-1.5235847321041973,0.12761247953163124,ic_env_cont,MHAS,Female,sex,4154,1057,0.7470333448176607,1.0372123213037923
0.03371921853619822,1.0342941553264071,0.004378112707023279,7.70177032722491,1.3419392501317548e-14,age,MHAS,Female,sex,4154,1057,1.0254567443994742,1.0432077272736053
0.3319846430298733,1.393731444856006,0.03275068551929102,10.136723484286323,3.7961927008699126e-24,chronic_n,MHAS,Female,sex,4154,1057,1.307076938518823,1.486130833722484
-0.5458216733421098,0.5793655384894781,0.040931642313094097,-13.334956588524195,1.4493905807280719e-40,ic_cfa,SHARE,Female,sex,22770,3805,0.5347009329195355,0.6277610651554921
-0.1778475944520664,0.8370699878779222,0.024659080340077046,-7.212255769450595,5.503247890777014e-13,env_formative,SHARE,Female,sex,22770,3805,0.7975750103199999,0.8785207103276946
-0.10426933394230532,0.9009825995438002,0.04946015896631931,-2.1081479744800093,0.03501819179596751,ic_env_cont,SHARE,Female,sex,22770,3805,0.8177396694682253,0.9926993577413168
0.0733935693897228,1.0761539948501977,0.002243244007714824,32.71760412033298,8.776261380877507e-235,age,SHARE,Female,sex,22770,3805,1.07143279248794,1.0808960008987918
0.29799552492754205,1.34715575924643,0.01312278196569967,22.70825848562011,3.712661203484264e-114,chronic_n,SHARE,Female,sex,22770,3805,1.3129478446766396,1.382254936499623
-0.4128600905890605,0.6617548620842834,0.049040018302974955,-8.418840466950128,3.802287517279339e-17,ic_cfa,CHARLS,Age < 70,age_group,6835,2161,0.6011092825428717,0.7285189402493647
-0.22845522786133218,0.7957619243701509,0.034046169097459646,-6.710159583809926,1.944116799058277e-11,env_formative,CHARLS,Age < 70,age_group,6835,2161,0.7443933264256194,0.8506753322439405
-0.26330166327403437,0.7685100310880504,0.06979856153784626,-3.772307873870246,1.617445031564087e-4,ic_env_cont,CHARLS,Age < 70,age_group,6835,2161,0.6702484302614957,0.8811772489381766
0.033967146788344955,1.0345506178593828,0.007763153692805021,4.375431446092081,1.2119252706251089e-5,age,CHARLS,Age < 70,age_group,6835,2161,1.0189282764490397,1.0504124830485653
0.312202661310702,1.3664315877871704,0.04420904312100862,7.061963780942815,1.6416578301823643e-12,female,CHARLS,Age < 70,age_group,6835,2161,1.2530153629763128,1.4901136404804516
0.2441241580832179,1.276502808793032,0.013055987036045052,18.69825371373596,5.115267797438689e-78,chronic_n,CHARLS,Age < 70,age_group,6835,2161,1.244251847384193,1.3095897139169483
-0.5844601097613616,0.557406719036486,0.05137179187633128,-11.377062944745017,5.4401117221224096e-30,ic_cfa,ELSA,Age < 70,age_group,7094,1652,0.504015215521856,0.6164541086429697
-0.13629884009874205,0.8725818310811403,0.0335880003543402,-4.0579623276421,4.950275067185613e-5,env_formative,ELSA,Age < 70,age_group,7094,1652,0.8169876334332938,0.9319590906575
-0.05535010547799561,0.9461538363187372,0.059167339237784555,-0.9354841064519048,0.3495388703476245,ic_env_cont,ELSA,Age < 70,age_group,7094,1652,0.8425535226680776,1.0624928362365045
0.05221255233403427,1.0535996637827023,0.008386538869823915,6.225756911698489,4.792366341298253e-10,age,ELSA,Age < 70,age_group,7094,1652,1.0364225589874134,1.0710614525870275
-0.05957762726140959,0.9421623932660329,0.049905691804534615,-1.1938042557301278,0.23255454656901775,female,ELSA,Age < 70,age_group,7094,1652,0.8543684113465237,1.038977990637283
0.3356002202336446,1.3987797091915226,0.02308198259106492,14.539488491060387,6.809960129687909e-48,chronic_n,ELSA,Age < 70,age_group,7094,1652,1.3369080660075645,1.463514750635703
-0.3860534807860466,0.679734171990397,0.03420727525521866,-11.285712700170421,1.543851625100838e-29,ic_cfa,HRS,Age < 70,age_group,15246,4837,0.6356547300797726,0.7268703003491948
-0.2873038312764366,0.7502837345381681,0.020573537482509528,-13.964726849754753,2.5588460371982235e-44,env_formative,HRS,Age < 70,age_group,15246,4837,0.7206310700060689,0.7811565525585784
0.08991803049400081,1.0940845984554761,0.04291217410346684,2.095396757973547,0.03613573749305878,ic_env_cont,HRS,Age < 70,age_group,15246,4837,1.0058270810221221,1.1900863788247447
0.05021241727844859,1.0514944282401615,0.004968121197697189,10.106922774292006,5.1475738635885704e-24,age,HRS,Age < 70,age_group,15246,4837,1.0413051723345152,1.0617833868445643
0.01731986098466603,1.017470719467739,0.03010189299748965,0.5753744784791581,0.5650380607566458,female,HRS,Age < 70,age_group,15246,4837,0.9591768125587674,1.0793074346871478
0.35337926230441885,1.4238710616618555,0.011025862274518843,32.05003413847194,2.1929354317241052e-225,chronic_n,HRS,Age < 70,age_group,15246,4837,1.3934303327426483,1.4549767954653106
-0.5729843115023081,0.563840250442035,0.06422523982483695,-8.921481851450023,4.600901872320563e-19,ic_cfa,MHAS,Age < 70,age_group,5001,901,0.49714885953774945,0.6394781400366398
-0.10779610924279753,0.8978106330598613,0.055441145061036944,-1.944334106449665,0.05185517430242602,env_formative,MHAS,Age < 70,age_group,5001,901,0.8053641419759546,1.0008689123626455
-0.18665207326109848,0.8297323722488624,0.0986008206907886,-1.8930072990613123,0.0583568988047735,ic_env_cont,MHAS,Age < 70,age_group,5001,901,0.683923177122938,1.0066273999571913
0.011479347393976784,1.0115454879434327,0.011817682710988087,0.9713704179333975,0.33136385406962626,age,MHAS,Age < 70,age_group,5001,901,0.9883846741348246,1.0352490290021843
0.23862988569869395,1.2695085863381133,0.07111661382457392,3.355473114725786,7.922935721777944e-4,female,MHAS,Age < 70,age_group,5001,901,1.1043327678627752,1.4593898666117087
0.3662969599003116,1.4423835091254655,0.0347308445430254,10.546733450335022,5.259390670953668e-26,chronic_n,MHAS,Age < 70,age_group,5001,901,1.3474642658450404,1.5439891358397981
-0.39887661633069404,0.6710734957558826,0.04467255353544634,-8.928896710912158,4.302783755796124e-19,ic_cfa,SHARE,Age < 70,age_group,28126,3049,0.6148144148051524,0.7324806085568809
-0.28136203986344416,0.754755034600626,0.029338038684450424,-9.590349337584383,8.778727165265322e-22,env_formative,SHARE,Age < 70,age_group,28126,3049,0.7125789288189222,0.79942745879278
-0.037479628463822426,0.9632140396706124,0.0652402576428886,-0.57448621170348535,0.5656388284314547,ic_env_cont,SHARE,Age < 70,age_group,28126,3049,0.8475965410736045,1.0946024921755932
0.0558149545943292,1.0574019982500962,0.006197085291718235,9.006646183960083,2.1245416442160117e-19,age,SHARE,Age < 70,age_group,28126,3049,1.0446361755448348,1.070323823813728
-0.21622681507319577,0.8055525696859994,0.03676125905125423,-5.881920822453944,4.055323409848567e-9,female,SHARE,Age < 70,age_group,28126,3049,0.7495525257705055,0.8657364497046586
0.3751405290360857,1.4551958975267671,0.014119207768778815,26.569516872300547,1.5282273983939973e-155,chronic_n,SHARE,Age < 70,age_group,28126,3049,1.41547743178687,1.4960288681575968
-0.5330983943644005,0.5867840617595957,0.07462284758971413,-7.143903128642893,9.071734474782871e-13,ic_cfa,CHARLS,Age >= 70,age_group,1830,967,0.5069417489202077,0.6792013793862618
-0.11763783480253215,0.8890179656853382,0.04515494993970166,-2.605203526072371,0.009181969944601024,env_formative,CHARLS,Age >= 70,age_group,1830,967,0.8137178971989165,0.9712861742772906
